Marca de tiempo,Media de espectadores,Visualiz. en directo,Nuevos seguidores,Participantes en el chat,Mensajes de chat,Anuncios,Nuevas suscripciones,Clips creados,Visualizaciones de clips
21:36,2,2,0,0,0,0,0,0,0
21:37,4,0,0,0,0,0,0,0,0
21:38,4,0,0,0,0,0,0,0,0
21:39,4,0,0,0,0,0,0,0,0
21:40,4,1,0,0,0,0,0,0,0
21:41,5,0,0,0,0,0,0,0,0
21:42,5,0,0,0,0,90,0,0,0
21:43,5,0,0,1,1,0,0,0,0
21:44,4,2,0,0,0,0,0,0,0
21:45,6,1,0,0,0,0,0,0,0
21:46,5,0,0,0,0,0,0,0,0
21:47,3,0,0,0,0,0,0,0,0
21:48,3,0,0,0,0,0,0,0,0
21:49,3,0,0,0,0,0,0,0,0
21:50,3,0,0,0,0,0,0,0,0
21:51,2,0,0,0,0,0,0,0,0
21:52,2,1,0,0,0,0,0,0,0
21:53,2,0,0,0,0,0,0,0,0
21:54,5,1,0,0,0,0,0,0,0
21:55,4,0,0,0,0,0,0,0,0
21:56,3,0,0,0,0,0,0,0,0
21:57,3,1,0,0,0,0,0,0,0
21:58,4,0,0,0,0,0,0,0,0
21:59,4,0,0,0,0,0,0,0,0
22:00,5,1,0,0,0,0,0,0,0
22:01,5,0,0,0,0,0,0,0,0
22:02,4,0,0,0,0,0,0,0,0
22:03,4,0,0,0,0,0,0,0,0
22:04,4,1,0,0,0,0,0,0,0